City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,medicine hat,50.0501,-110.6683,14.84,30,75,5.14,CA,1682636538
210,easton,40.6884,-75.2207,15.4,70,99,1.34,US,1682636419
211,carnarvon,-24.8667,113.6333,19.3,52,93,10.48,AU,1682636538
212,afaahiti,-17.75,-149.2833,29.93,77,86,4.15,PF,1682636538
213,tinajo,29.0788,-13.7081,19.49,73,20,2.06,ES,1682636539
214,anna regina,7.2644,-58.5077,25.79,83,59,3.14,GY,1682636311
215,yishui,35.7847,118.6281,13.4,80,91,2.51,CN,1682636539
216,labasa,-16.4167,179.3833,29.74,68,46,2.09,FJ,1682636539
217,kavaratti,10.5669,72.642,28.23,73,92,2.19,IN,1682636540
218,sinabang,2.4803,96.3801,26.41,84,100,0.63,ID,1682636540
219,antofagasta,-23.65,-70.4,18.6,82,12,3.15,CL,1682636541
220,west bay,19.3667,-81.4167,30.04,73,40,4.63,KY,1682636541
221,nadi,-17.8,177.4167,26.0,94,75,6.17,FJ,1682636541
222,saipan,15.1355,145.701,27.06,82,11,10.21,MP,1682636500
223,fort mcmurray,56.7268,-111.381,13.77,35,75,4.12,CA,1682636271
224,ciudad mante,22.7333,-98.9667,33.07,46,48,9.06,MX,1682636542
225,coquimbo,-29.9533,-71.3436,14.85,82,75,4.12,CL,1682636457
226,brookings,44.3114,-96.7984,17.27,70,100,3.09,US,1682636543
227,charlottetown,46.2352,-63.1267,3.44,72,100,3.6,CA,1682636354
228,bargaal,11.2864,51.0773,27.9,69,100,3.95,SO,1682636543
229,hammerfest,70.6634,23.6821,6.25,61,0,5.66,NO,1682636543
230,aksu,41.1231,80.2644,14.88,24,67,1.89,CN,1682636544
231,altai,46.3722,96.2583,-6.38,41,10,2.26,MN,1682636544
232,el calafate,-50.3408,-72.2768,6.25,82,79,2.3,AR,1682636320
233,tocopilla,-22.092,-70.1979,21.49,72,5,3.76,CL,1682636514
234,vorgashor,67.5833,63.95,-6.32,93,57,6.05,RU,1682636544
235,bereznik,62.8551,42.7072,-0.76,92,100,3.06,RU,1682636545
236,sorong,-0.8833,131.25,26.73,83,87,1.68,ID,1682636545
237,coruripe,-10.1256,-36.1756,25.61,84,22,3.45,BR,1682636545
238,tsengel,49.4783,100.8894,-1.37,48,100,2.67,MN,1682636546
239,arkalyk,50.2486,66.9114,14.92,35,54,3.75,KZ,1682636288
240,vega de alatorre,20.0333,-96.6333,26.62,83,98,5.01,MX,1682636546
241,alvin,29.4238,-95.2441,26.09,71,80,0.89,US,1682636434
242,sao gabriel da cachoeira,-0.1303,-67.0892,26.54,74,97,0.96,BR,1682636546
243,kununurra,-15.7667,128.7333,22.99,94,19,0.0,AU,1682636547
244,la passe,45.5549,-0.8967,15.13,90,98,1.65,FR,1682636547
245,al jawf,29.5,38.75,21.28,22,37,9.69,SA,1682636547
246,olyokminsk,60.3736,120.4264,1.24,74,23,0.95,RU,1682636547
247,san antonio de pale,-1.4014,5.6325,28.23,73,99,1.61,GQ,1682636507
